Customer_ID,Gender,First_Date,First_region,First_state,First_city,Recent_Date,Last_region,Last_state,Last_city,Customer_Value,Buy_Times,Points_Earned,Points_Redeemed
84437746,M,20120115,East,West Bengal,Kolkata,20130222,South,Karnataka,Bangalore,5415.001,6,736,0
7514232,M,20120114,North,Delhi,Delhi,20130108,North,Delhi,Delhi,51692.999,29,4275,12
328670,M,20120115,North,Delhi,Delhi,20130302,North,Delhi,Delhi,10547.796,11,574,2120
237645,M,20120117,North,Madhya Pradesh,Indore,20130318,North,Madhya Pradesh,Indore,173171.7,34,12737,0
36292837,M,20120118,West,Gujarat,Surat,20130313,West,Gujarat,Surat,18412.2,19,158,1260
8101280,M,20120118,West,Gujarat,Rajkot,20130116,West,Gujarat,Ahmedabad,9135.999,9,1145,0
72185252,M,20120118,South,Karnataka,Hubballi-Dharwad,20120306,South,Karnataka,Hubballi-Dharwad,3299.1,4,74,271
73792250,M,20120128,West,Gujarat,Surat,20130305,West,Gujarat,Surat,29460,6,2440,0
91024647,M,20120127,North,Madhya Pradesh,Bhopal,20120624,North,Madhya Pradesh,Bhopal,7910,2,807,0
73957360,M,20120129,West,Gujarat,Surat,20130306,West,Gujarat,Surat,28291.298,29,225,1886
8068420,F,20120131,North,Uttar Pradesh,Kanpur,20130224,South,Tamil Nadu,Chennai,11316.001,6,684,267
3021033,M,20120131,South,Karnataka,Bangalore,20130218,South,Karnataka,Bangalore,48674.401,6,244,2270
5912830,F,20120202,East,West Bengal,South Dumdum,20130318,East,Jharkhand,Dhanbad,15478,9,1895,0
91311508,F,20120206,West,Maharashtra,Mumbai,20120206,West,Maharashtra,Mumbai,2980,1,20,0
9046409,M,20120206,West,Maharashtra,Mumbai,20130327,West,Maharashtra,Mumbai,20520.8,13,641,780
93630,M,20120208,West,Gujarat,Surat,20130202,West,Gujarat,Surat,11148,7,960,0
85323066,F,20120208,West,Maharashtra,Mumbai,20130202,West,Maharashtra,Mumbai,41852.798,16,1453,415
303753,M,20120208,North,Madhya Pradesh,Indore,20130321,North,Madhya Pradesh,Indore,54342,32,2061,9320
49886011,F,20120208,West,Maharashtra,Mumbai,20120518,South,Karnataka,Bangalore,15092.8,5,1381,0
84435316,M,20120209,West,Gujarat,Surat,20130329,West,Gujarat,Surat,8511,6,729,0
92835926,F,20120211,West,Gujarat,Surat,20120211,West,Gujarat,Surat,1298.9,1,35,0
58188925,M,20120212,West,Maharashtra,Nagpur,20121018,West,Maharashtra,Nagpur,5325.3,5,175,0
85613515,M,20120213,West,Gujarat,Surat,20130312,West,Gujarat,Surat,37192.001,13,1837,540
113434554,M,20120218,West,Maharashtra,Nagpur,20120218,West,Maharashtra,Nagpur,1485,1,10,0
85589488,M,20120224,South,Tamil Nadu,Chennai,20120224,South,Tamil Nadu,Chennai,2451,1,160,0
55802349,F,20120224,West,Gujarat,Ahmedabad,20130225,West,Gujarat,Ahmedabad,15695.5,9,983,0
84874275,M,20120224,West,Maharashtra,Pimpri-Chinchwad,20130322,West,Maharashtra,Pimpri-Chinchwad,107078.399,37,4083,0
6898330,F,20120227,West,Gujarat,Surat,20130308,West,Gujarat,Surat,20211.9,17,1205,0
6192202,M,20120228,North,Delhi,Delhi,20121005,North,Delhi,Delhi,7620,7,397,0
113932157,F,20120302,West,Gujarat,Surat,20130201,West,Gujarat,Surat,32085.698,16,537,2401
1747708,F,20120303,South,Karnataka,Bangalore,20130324,North,Madhya Pradesh,Indore,18881.78574,14,588,2481
2780625,M,20120303,West,Gujarat,Surat,20130124,West,Gujarat,Surat,16471.901,9,555,0
8346775,M,20120302,West,Gujarat,Surat,20130318,West,Gujarat,Surat,8887,4,615,0
42389150,M,20120305,West,Maharashtra,Nagpur,20120305,West,Maharashtra,Nagpur,1336,1,165,0
114135637,M,20120318,North,Delhi,Delhi,20121202,East,West Bengal,Howrah,14522.9,6,151,600
114861255,F,20120316,North,Delhi,Delhi,20121228,North,Delhi,Delhi,9848.402,8,489,0
5601084,F,20120317,South,Telangana,Hyderabad,20120708,South,Telangana,Hyderabad,40558,2,165,0
85618136,F,20120317,North,Delhi,Delhi,20130324,North,Delhi,Delhi,5426,5,370,0
8736991,M,20120320,South,Tamil Nadu,Chennai,20121212,North,Uttar Pradesh,Kanpur,5265,5,600,0
115157510,unknown,20120323,North,Uttar Pradesh,Kanpur,20120803,North,Uttar Pradesh,Kanpur,1962,3,125,0
779024,M,20120324,West,Gujarat,Surat,20130314,West,Gujarat,Surat,18748.801,7,776,1484
10103730,M,20120326,West,Gujarat,Vadodara,20130221,West,Maharashtra,Mumbai,20219.4,10,1005,0
85452163,F,20120328,South,Karnataka,Bellary,20120906,West,Gujarat,Ahmedabad,14247.499,8,457,0
115283968,M,20120402,West,Gujarat,Surat,20130328,South,Karnataka,Bangalore,11367.001,13,342,200
50370603,F,20120411,West,Gujarat,Surat,20130118,West,Gujarat,Surat,3351,2,177,0
115750273,M,20120412,North,Uttar Pradesh,Kanpur,20130323,North,Uttar Pradesh,Kanpur,15180.9,10,905,0
115780403,F,20120414,North,Uttar Pradesh,Kanpur,20130122,North,Uttar Pradesh,Kanpur,295,2,25,0
115496820,F,20120421,South,Andhra Pradesh,Visakhapatnam,20130327,South,Andhra Pradesh,Visakhapatnam,58438.5,18,1331,2040
116005466,F,20120421,West,Maharashtra,Mumbai,20120421,West,Maharashtra,Mumbai,780,1,65,0
42042549,M,20120420,East,West Bengal,Kolkata,20120914,East,West Bengal,Kolkata,15377,6,1860,0
74230259,F,20120424,North,Delhi,Delhi,20130314,West,Gujarat,Surat,13071.4,9,1536,0
116266798,unknown,20120430,North,Uttar Pradesh,Kanpur,20120430,North,Uttar Pradesh,Kanpur,1031,1,70,0
42473567,M,20120504,West,Maharashtra,Nagpur,20120504,West,Maharashtra,Nagpur,1821.901,1,10,0
116460389,M,20120505,North,Uttar Pradesh,Lucknow,20120818,North,Uttar Pradesh,Lucknow,2382.4,2,100,0
116524374,unknown,20120507,North,Madhya Pradesh,Bhopal,20130221,North,Madhya Pradesh,Bhopal,16044,10,830,0
116497775,unknown,20120511,East,West Bengal,Kolkata,20120707,East,West Bengal,Kolkata,5122,3,270,0
63500201,M,20120511,West,Gujarat,Ahmedabad,20121123,West,Gujarat,Ahmedabad,2702,4,80,0
116746846,F,20120514,North,Uttar Pradesh,Kanpur,20121213,North,Uttar Pradesh,Kanpur,18257,8,990,0
116767113,unknown,20120515,West,Maharashtra,Nashik,20120515,West,Maharashtra,Nashik,627,1,0,0
73122241,M,20120516,West,Gujarat,Ahmedabad,20120516,West,Gujarat,Ahmedabad,11,1,1,339
114099536,M,20120520,West,Maharashtra,Mumbai,20121125,West,Maharashtra,Mumbai,5103.198,4,100,0
116881025,F,20120519,North,Uttar Pradesh,Lucknow,20130314,North,Delhi,Delhi,26216.9,20,1010,730
117082270,M,20120528,West,Gujarat,Surat,20120528,West,Gujarat,Surat,1064.6,1,70,0
130047,M,20120529,North,Delhi,Delhi,20120530,North,Delhi,Delhi,3902,1,265,0
117246185,unknown,20120603,West,Gujarat,Surat,20120603,West,Gujarat,Surat,1006,1,10,0
50219802,M,20120604,South,Tamil Nadu,Chennai,20130327,East,West Bengal,Kolkata,26767,15,1205,0
7305524,M,20120604,West,Gujarat,Ahmedabad,20120617,West,Gujarat,Ahmedabad,29960,12,514,0
117178123,F,20120608,North,Rajasthan,Jaipur,20120625,North,Uttar Pradesh,Ghaziabad,5696.799,5,160,0
117523262,M,20120611,North,Delhi,Delhi,20120625,North,Delhi,Delhi,2115,2,145,0
5151002,M,20120612,West,Maharashtra,Mumbai,20130304,West,Maharashtra,Mumbai,19067.7,11,1110,0
116651679,unknown,20120614,West,Gujarat,Surat,20120614,West,Gujarat,Surat,1059.6,1,50,0
117598509,M,20120614,South,Telangana,Hyderabad,20130107,South,Telangana,Hyderabad,38280,2,1130,0
117729782,M,20120619,North,Uttar Pradesh,Kanpur,20120619,North,Uttar Pradesh,Kanpur,1170,1,0,0
117777852,unknown,20120621,West,Gujarat,Ahmedabad,20130202,North,Madhya Pradesh,Bhopal,5793.6,6,330,0
117957607,F,20120626,North,Uttar Pradesh,Lucknow,20130214,North,Uttar Pradesh,Lucknow,3356.5,4,70,0
118041792,F,20120629,North,Uttar Pradesh,Gorakhpur,20130331,North,Uttar Pradesh,Kanpur,8468.5,8,422,0
118107567,M,20120701,West,Maharashtra,Mumbai,20120701,West,Maharashtra,Mumbai,23,1,5,0
118293911,F,20120704,West,Maharashtra,Mumbai,20120704,West,Maharashtra,Mumbai,4770,1,0,0
117739560,M,20120710,West,Gujarat,Ahmedabad,20120825,North,Delhi,Delhi,1905,2,95,0
168347,M,20120711,West,Gujarat,Surat,20130325,West,Gujarat,Surat,75539.999,5,4570,0
118625903,unknown,20120710,East,West Bengal,Kolkata,20120710,East,West Bengal,Kolkata,1023,1,45,0
118470715,unknown,20120713,West,Gujarat,Surat,20120713,West,Gujarat,Surat,1246,1,35,0
117695374,M,20120713,North,Rajasthan,Jaipur,20120713,North,Rajasthan,Jaipur,904,1,20,0
118872758,M,20120714,West,Gujarat,Rajkot,20120714,West,Gujarat,Rajkot,528,1,50,0
119042191,unknown,20120718,West,Gujarat,Surat,20120718,West,Gujarat,Surat,1296,1,115,0
73811307,M,20120724,East,West Bengal,Kolkata,20120724,East,West Bengal,Kolkata,1000,1,45,0
119372319,M,20120725,North,Uttar Pradesh,Lucknow,20120725,North,Uttar Pradesh,Lucknow,575,1,50,0
119624622,unknown,20120731,South,Karnataka,Bangalore,20120731,South,Karnataka,Bangalore,40980,1,10,0
119796345,unknown,20120803,East,West Bengal,Kolkata,20120813,East,West Bengal,Kolkata,14770,2,12,0
92837996,M,20120806,West,Gujarat,Surat,20130127,West,Gujarat,Surat,6877.8,6,315,0
14866915,M,20120806,South,Tamil Nadu,Chennai,20120812,South,Tamil Nadu,Chennai,3508,2,265,0
42217507,M,20120807,North,Uttar Pradesh,Kanpur,20121226,North,Uttar Pradesh,Kanpur,4554,4,600,0
118468375,unknown,20120809,West,Gujarat,Surat,20120809,West,Gujarat,Surat,1983,1,95,0
120148706,M,20120811,East,West Bengal,Kolkata,20130224,East,West Bengal,Kolkata,3845,2,115,0
118493131,unknown,20120815,West,Maharashtra,Pimpri-Chinchwad,20120815,West,Maharashtra,Pimpri-Chinchwad,550,1,20,0
7886746,M,20120818,East,West Bengal,Kolkata,20130308,East,West Bengal,Kolkata,12654.101,8,901,0
63786076,M,20120822,West,Gujarat,Surat,20120822,West,Gujarat,Surat,1083,1,790,0
120898657,unknown,20120828,North,Delhi,Delhi,20120828,North,Delhi,Delhi,1114,1,45,0
120977003,unknown,20120830,West,Maharashtra,Nagpur,20130312,West,Maharashtra,Nagpur,5374.7,5,350,0
8460791,M,20120831,South,Telangana,Hyderabad,20130323,South,Telangana,Hyderabad,19667.299,11,1180,0
568655,M,20120910,South,Tamil Nadu,Chennai,20130221,South,Tamil Nadu,Chennai,21015.5,14,967,33
121611365,unknown,20120912,North,Delhi,Delhi,20130223,North,Delhi,Delhi,4649.2,3,275,0
116082491,unknown,20120914,West,Gujarat,Ahmedabad,20120914,West,Gujarat,Ahmedabad,1558,1,170,0
119932341,F,20120915,West,Maharashtra,Nagpur,20130326,West,Maharashtra,Nagpur,8766.8,9,485,0
10904164,F,20120923,North,Madhya Pradesh,Indore,20121115,South,Andhra Pradesh,Vijayawada,6699,2,145,0
119264975,unknown,20120924,West,Gujarat,Surat,20120924,West,Gujarat,Surat,2400,1,10,0
5892609,F,20120924,North,Madhya Pradesh,Bhopal,20121031,North,Madhya Pradesh,Bhopal,3232.1,2,437,0
5610276,M,20120925,West,Gujarat,Surat,20121209,West,Gujarat,Surat,3640.999,2,85,0
122495192,unknown,20120929,West,Maharashtra,Pimpri-Chinchwad,20130327,West,Maharashtra,Nagpur,30001,19,1709,0
122581413,unknown,20121001,West,Maharashtra,Nagpur,20121111,North,Delhi,Delhi,1237,2,45,0
122836302,M,20121008,West,Gujarat,Surat,20121008,West,Gujarat,Surat,1043,1,60,0
122922981,unknown,20121009,West,Maharashtra,Nagpur,20130207,West,Maharashtra,Nagpur,3212.4,3,120,0
123054796,unknown,20121012,North,Delhi,Delhi,20121012,North,Delhi,Delhi,1006,1,65,0
63595881,M,20121013,South,Andhra Pradesh,Visakhapatnam,20121013,South,Andhra Pradesh,Visakhapatnam,1146,1,140,0
123401041,unknown,20121019,West,Maharashtra,Pimpri-Chinchwad,20121019,West,Maharashtra,Pimpri-Chinchwad,1015,1,10,0
88017952,M,20121024,South,Telangana,Hyderabad,20130306,South,Telangana,Hyderabad,2726.998,3,140,0
123851052,unknown,20121028,North,Uttar Pradesh,Kanpur,20130315,North,Uttar Pradesh,Kanpur,7552.6,7,662,0
49824580,M,20121028,West,Gujarat,Ahmedabad,20130222,West,Gujarat,Ahmedabad,2852,2,585,0
123513037,M,20121031,South,Telangana,Hyderabad,20130321,South,Telangana,Hyderabad,23066.8,10,945,0
124452278,unknown,20121109,South,Telangana,Hyderabad,20121109,South,Telangana,Hyderabad,678,1,30,0
124618375,unknown,20121112,North,Uttar Pradesh,Lucknow,20121112,North,Uttar Pradesh,Lucknow,1890,1,0,0
124804413,M,20121114,West,Gujarat,Ahmedabad,20130328,West,Maharashtra,Mumbai,5832,6,201,0
124801120,unknown,20121113,East,West Bengal,Kolkata,20130315,East,West Bengal,Kolkata,8363,6,279,140
125244858,M,20121121,West,Maharashtra,Nagpur,20121121,West,Maharashtra,Nagpur,1516,1,30,0
125594390,unknown,20121127,West,Maharashtra,Pimpri-Chinchwad,20121127,West,Maharashtra,Pimpri-Chinchwad,3083.598,1,110,0
115369420,M,20121130,North,Delhi,Delhi,20121130,North,Delhi,Delhi,2292,1,145,0
126003534,M,20121204,North,Rajasthan,Jaipur,20121204,North,Rajasthan,Jaipur,625,1,40,0
126128611,F,20121207,West,Gujarat,Ahmedabad,20121214,West,Gujarat,Ahmedabad,5998,2,365,0
118741971,unknown,20121207,West,Gujarat,Surat,20121207,West,Gujarat,Surat,1048,1,55,0
126700282,unknown,20121211,South,Karnataka,Bangalore,20121211,South,Karnataka,Bangalore,159,1,15,0
126790838,M,20121213,North,Uttar Pradesh,Kanpur,20121213,North,Uttar Pradesh,Kanpur,659,1,40,0
126930113,M,20121213,North,Delhi,Delhi,20121213,North,Delhi,Delhi,1544,1,0,0
126980807,M,20121215,West,Gujarat,Surat,20121215,West,Gujarat,Surat,1006,1,25,0
74182929,M,20121217,North,Rajasthan,Jaipur,20121217,North,Rajasthan,Jaipur,294,1,75,0
114712561,M,20121218,North,Uttar Pradesh,Kanpur,20121218,North,Uttar Pradesh,Kanpur,5570,1,0,0
127197260,F,20121218,West,Maharashtra,Mumbai,20130328,West,Maharashtra,Mumbai,13048.2,8,915,0
127197353,M,20121218,North,Uttar Pradesh,Kanpur,20121218,North,Uttar Pradesh,Kanpur,7228,1,700,0
116350234,F,20121225,North,Delhi,Delhi,20130327,West,Gujarat,Surat,11779.798,6,465,0
127823426,M,20121226,South,Tamil Nadu,Chennai,20130330,South,Tamil Nadu,Chennai,17512.9,9,1107,0
127915278,M,20121227,West,Gujarat,Surat,20130217,West,Gujarat,Surat,11024,8,664,0
128099479,M,20121229,West,Gujarat,Surat,20121229,West,Gujarat,Surat,1422,1,90,0
128982709,M,20130119,North,Delhi,Delhi,20130119,North,Delhi,Delhi,1155,1,65,0
129196221,M,20130122,West,Gujarat,Surat,20130122,West,Gujarat,Surat,175560,1,17522,0
129567969,M,20130128,West,Gujarat,Ahmedabad,20130128,West,Gujarat,Ahmedabad,1108,1,70,0
129749858,M,20130131,West,Maharashtra,Mumbai,20130131,West,Maharashtra,Mumbai,2376.8,2,25,0
114925532,M,20130211,South,Tamil Nadu,Chennai,20130324,South,Tamil Nadu,Chennai,9847.8,5,530,0
1607037,M,20130216,South,Telangana,Hyderabad,20130305,South,Telangana,Hyderabad,17090,2,80,0
127161786,M,20130223,West,Gujarat,Surat,20130328,West,Gujarat,Surat,3175.9,3,95,0
130502697,unknown,20130224,North,Delhi,Delhi,20130224,North,Delhi,Delhi,8990,1,0,0
9134774,M,20130225,East,West Bengal,Kolkata,20130315,East,West Bengal,Kolkata,3965,2,335,0
114637476,M,20130225,North,Uttar Pradesh,Kanpur,20130308,North,Uttar Pradesh,Kanpur,3184,4,105,0
130603391,F,20130227,West,Gujarat,Surat,20130330,West,Gujarat,Surat,9257,6,390,0
130601114,M,20130227,North,Delhi,Delhi,20130227,North,Delhi,Delhi,3180,1,130,0
50075072,F,20130227,West,Gujarat,Rajkot,20130227,West,Gujarat,Rajkot,657,1,25,0
58195820,M,20130306,South,Karnataka,Bangalore,20130308,South,Karnataka,Bangalore,5366,3,367,0
5970072,M,20130308,West,Gujarat,Surat,20130308,West,Gujarat,Surat,1108.199,1,30,0
131364624,M,20130311,West,Gujarat,Surat,20130311,West,Gujarat,Surat,1272,1,120,0
131498460,M,20130312,South,Telangana,Hyderabad,20130312,South,Telangana,Hyderabad,1010,1,70,0
131672985,M,20130315,North,Delhi,Delhi,20130328,North,Delhi,Delhi,3248,3,250,0
12638358,M,20130324,West,Gujarat,Surat,20130324,West,Gujarat,Surat,1223,1,20,0
132038370,M,20130322,South,Karnataka,Bangalore,20130327,South,Karnataka,Bangalore,3548.8,2,280,0
125529439,unknown,20130328,,Gujarat,Ahmedabad,20130328,West,Gujarat,Ahmedabad,1058,1,105,0
132305370,M,20130327,,Uttar Pradesh,Kanpur,20130327,North,Uttar Pradesh,Kanpur,2870,1,0,0
132302879,unknown,20130327,,West Bengal,Kolkata,20130327,East,West Bengal,Kolkata,554,1,40,0
132456295,M,20130330,,Andhra Pradesh,Visakhapatnam,20130330,South,Andhra Pradesh,Visakhapatnam,944,1,,0
50354197,M,20120101,,Delhi,Delhi,20130307,North,Delhi,Delhi,16407.502,6,,80
85393261,M,20120101,,Gujarat,Vadodara,20130127,West,Gujarat,Vadodara,4941,2,,0
447949,M,20120102,,Delhi,Delhi,20130317,North,Delhi,Delhi,48445.399,28,,0
85566519,M,20120103,,West Bengal,Kolkata,20120103,East,West Bengal,Kolkata,1832,1,,0
9176795,M,20120103,,Gujarat,Rajkot,20130322,West,Gujarat,Vadodara,22411,17,,0
84279123,F,20120104,,West Bengal,Kolkata,20130325,East,West Bengal,Kolkata,36312.6,29,,1885
65529409,,20120105,,West Bengal,Kolkata,20130217,East,West Bengal,Kolkata,25100.299,12,,0
50083707,,20120106,,Uttar Pradesh,Kanpur,20130315,North,Uttar Pradesh,Kanpur,68145.3,34,,6700
8397110,,20120108,,Maharashtra,Mumbai,20130327,South,Karnataka,Bangalore,108189.6,63,,0
86059740,,20120109,,Uttar Pradesh,Kanpur,20130224,West,Gujarat,Surat,6963,4,,0
72303583,,20120113,,Maharashtra,Mumbai,20120704,North,Uttar Pradesh,Loni,1758,2,,540
86010913,,20120110,,Karnataka,Bangalore,20120110,South,Karnataka,Bangalore,860.6,1,,0
7566831,,20120111,,Gujarat,Surat,20130314,West,Gujarat,Surat,8538,6,,480
63788247,,20120111,,Karnataka,Bangalore,20121219,West,Maharashtra,Nagpur,7615.5,5,,0
9500045,,20120112,,Maharashtra,Mumbai,20130220,South,Tamil Nadu,Chennai,8355.2,6,,870
5099393,,20120116,,Punjab,Patiala,20130113,West,Gujarat,Surat,18039.6,9,,0
88052493,,20120114,,Uttar Pradesh,Kanpur,20121125,North,Delhi,Delhi,14169.2,7,,0
10121652,,20120115,West,Gujarat,Surat,20130301,West,Gujarat,Surat,32623.999,21,,0
480848,,20120115,North,Madhya Pradesh,Bhopal,20120729,West,Gujarat,Surat,6841.8,3,,0
12617541,,20120116,North,Delhi,Delhi,20120924,West,Gujarat,Surat,6414,8,,0
9364546,F,20120116,South,Tamil Nadu,Chennai,20121217,South,Tamil Nadu,Chennai,,7,1100,3650
72645347,M,20120119,North,Uttar Pradesh,Kanpur,20120119,North,Uttar Pradesh,Kanpur,,1,30,560
6635095,F,20120126,South,Telangana,Hyderabad,20130221,South,Telangana,Hyderabad,,3,354,0
87032325,M,20120126,South,Tamil Nadu,Chennai,20120131,South,Tamil Nadu,Chennai,,1,0,0
1928337,unknown,20120129,North,Uttar Pradesh,Kanpur,20130312,North,Uttar Pradesh,Kanpur,,9,964,0
794451,F,20120130,West,Gujarat,Surat,20130220,West,Gujarat,Surat,,12,1275,0
85435342,M,20120129,West,Gujarat,Ahmedabad,20130216,West,Gujarat,Ahmedabad,,10,955,0
35922025,M,20120201,West,Maharashtra,Nashik,20120509,North,Delhi,Delhi,,6,718,303
69862541,M,20120202,West,,Ahmedabad,20120824,West,Gujarat,Ahmedabad,,2,0,300
6425982,M,20120202,West,,Nagpur,20120202,West,Maharashtra,Nagpur,,1,45,0
85615840,M,20120202,West,,Mumbai,20120308,North,Uttar Pradesh,Kanpur,,4,20,0
9039363,M,20120207,West,,Ahmedabad,20121121,West,Gujarat,Ahmedabad,,2,170,0
91313329,F,20120207,West,,Ahmedabad,20120207,West,Gujarat,Ahmedabad,,1,65,0
668690,M,20120208,North,,Delhi,20121215,North,Delhi,Delhi,,3,395,0
66386909,M,20120210,North,,Kanpur,20120210,North,Uttar Pradesh,Kanpur,,1,40,810
74117158,F,20120217,East,,Kolkata,20130311,East,West Bengal,Kolkata,,10,833,0
14839806,M,20120225,West,,Surat,20121009,North,Delhi,Delhi,,3,920,0
113937879,M,20120227,West,,Surat,20120227,West,Gujarat,Surat,,1,32,0
6851776,M,20120304,West,,Vadodara,20120304,West,Gujarat,Vadodara,,1,90,0
74062770,M,20120310,South,,Chennai,20130329,South,Tamil Nadu,Chennai,,14,2118,0
114552989,M,20120310,North,,Kanpur,20120505,North,Uttar Pradesh,Kanpur,,3,270,0
50065279,M,20120311,North,,Delhi,20130228,West,Maharashtra,Pimpri-Chinchwad,,9,810,0
2679949,M,20120312,West,,Mumbai,20120506,South,Tamil Nadu,Chennai,,2,405,0
114637791,M,20120312,North,,Delhi,20120321,North,Delhi,Delhi,,2,110,0
58187785,M,20120317,South,,Chennai,20130131,South,Tamil Nadu,Chennai,,24,1813,0
7248775,M,20120323,South,Telangana,Hyderabad,20120412,North,Delhi,Delhi,,2,191,0
92750741,M,20120323,North,Delhi,Delhi,20120422,North,Uttar Pradesh,Ghaziabad,,4,5,0
115208634,F,20120325,North,Uttar Pradesh,Kanpur,20120727,North,Uttar Pradesh,Kanpur,,2,205,0
823833,M,20120328,West,Gujarat,Surat,20130321,South,Karnataka,Bangalore,,13,1506,0
63657401,M,20120329,North,Rajasthan,Jaipur,20120329,North,Rajasthan,Jaipur,,1,189,11
115434449,unknown,20120401,North,Delhi,Delhi,20130324,North,Delhi,Delhi,,25,5113,0
7885583,M,20120405,North,Delhi,Delhi,20130327,North,Delhi,Delhi,,12,982,
63660968,M,20120407,West,Maharashtra,Vasai-Virar,20120425,West,Maharashtra,Nagpur,,2,40,
63662061,M,20120408,West,Maharashtra,Nagpur,20120421,West,Maharashtra,Nagpur,,2,20,
115173757,unknown,20120409,West,Gujarat,Surat,20130315,West,Gujarat,Surat,,10,603,
115416042,unknown,20120412,West,Gujarat,Surat,20120412,West,Gujarat,Surat,,1,10,
759085,M,20120421,West,Gujarat,Vadodara,20130127,West,Gujarat,Vadodara,11998.199,5,429,
115857532,unknown,20120423,North,Madhya Pradesh,Indore,20130119,North,Madhya Pradesh,Indore,34809.6,19,2219,
5775197,F,20120423,West,Gujarat,Vadodara,20130223,West,Gujarat,Vadodara,6461.2,3,220,
115641000,M,20120425,East,West Bengal,Kolkata,20120425,East,West Bengal,Kolkata,865,1,55,
113790514,M,20120427,West,Gujarat,Surat,20121229,West,Gujarat,Surat,6598,3,405,
84437996,M,20120429,West,Gujarat,Surat,20120429,West,Gujarat,Surat,28880,1,210,
116516231,M,20120507,North,Rajasthan,Jaipur,20121101,North,Rajasthan,Jaipur,2002,2,115,
116853781,unknown,20120520,North,Uttar Pradesh,Kanpur,20130320,North,Uttar Pradesh,Kanpur,13563,4,205,0
63595108,M,20120519,West,Gujarat,Surat,20130119,West,Gujarat,Surat,9408,4,800,0
117014845,unknown,20120524,West,Gujarat,Surat,20120630,West,Gujarat,Surat,2072,2,155,0
116820148,M,20120525,North,Uttar Pradesh,Kanpur,20120606,North,Uttar Pradesh,Kanpur,2580,2,0,0
117256988,unknown,20120602,West,Maharashtra,Mumbai,20120703,West,Maharashtra,Mumbai,101450,5,0,0
14769867,M,20120612,West,Gujarat,Surat,20130110,West,Gujarat,Surat,12361,7,1003,0
63731603,M,20120614,West,Gujarat,Surat,20120820,West,Gujarat,Surat,1796,2,75,0
